Theta,Phi,RCS(dBsm)
45.0,-45.0,-9.786240276138486
45.0,-44.0,-16.297821601903287
45.0,-43.0,-13.110782081864237
45.0,-42.0,-12.769662563558724
45.0,-41.0,-18.29101245114116
45.0,-40.0,-12.98775981127125
45.0,-39.0,-9.901413972218569
45.0,-38.0,-13.003392501417864
45.0,-37.0,-19.736928365966524
45.0,-36.0,-17.919270268997366
45.0,-35.0,-16.214000987961832
45.0,-34.0,-20.835255702495935
45.0,-33.0,-15.121714331662803
45.0,-32.0,-13.139334817131205
45.0,-31.0,-18.79952721177466
45.0,-30.0,-17.169311910088545
45.0,-29.0,-14.230068058585081
45.0,-28.0,-24.467888239442953
45.0,-27.0,-17.26618502421353
45.0,-26.0,-25.831918249388607
45.0,-25.0,-33.571436516856096
45.0,-24.0,-15.29549434191319
45.0,-23.0,-24.49085647899355
45.0,-22.0,-23.654765370641115
45.0,-21.0,-23.606477614412093
45.0,-20.0,-18.695512440063464
45.0,-19.0,-21.836151020181312
45.0,-18.0,-18.097756649060642
45.0,-17.0,-23.296579059083292
45.0,-16.0,-17.908698586278
45.0,-15.0,-27.27583486188201
45.0,-14.0,-25.06628549917407
45.0,-13.0,-23.62679267713966
45.0,-12.0,-20.058471375152255
45.0,-11.0,-32.19018512138157
45.0,-10.0,-29.358693679889267
45.0,-9.0,-20.15851838993602
45.0,-8.0,-23.424779035481478
45.0,-7.0,-21.791283773542478
45.0,-6.0,-17.002274004082413
45.0,-5.0,-22.76973371540839
45.0,-4.0,-21.86593540251643
45.0,-3.0,-21.19671633006798
45.0,-2.0,-21.23239063248208
45.0,-1.0,-24.23277179964179
45.0,0.0,-19.999784659345128
45.0,1.0,-24.232771799643924
45.0,2.0,-21.232390632479962
45.0,3.0,-21.196716330060212
45.0,4.0,-21.86593540252432
45.0,5.0,-22.769733715394874
45.0,6.0,-17.002274004080963
45.0,7.0,-21.79128377354171
45.0,8.0,-23.424779035473577
45.0,9.0,-20.158518389926844
45.0,10.0,-29.358693679910154
45.0,11.0,-32.19018512136606
45.0,12.0,-20.058471375156493
45.0,13.0,-23.62679267713498
45.0,14.0,-25.066285499165502
45.0,15.0,-27.27583486190307
45.0,16.0,-17.908698586271786
45.0,17.0,-23.296579059100807
45.0,18.0,-18.09775664905642
45.0,19.0,-21.83615102018806
45.0,20.0,-18.695512440059964
45.0,21.0,-23.60647761442277
45.0,22.0,-23.654765370641915
45.0,23.0,-24.490856478975502
45.0,24.0,-15.29549434191509
45.0,25.0,-33.57143651689678
45.0,26.0,-25.831918249406005
45.0,27.0,-17.266185024207207
45.0,28.0,-24.467888239426067
45.0,29.0,-14.230068058584104
45.0,30.0,-17.16931191008522
45.0,31.0,-18.79952721177461
45.0,32.0,-13.139334817131608
45.0,33.0,-15.121714331658813
45.0,34.0,-20.835255702492496
45.0,35.0,-16.21400098795674
45.0,36.0,-17.919270268987898
45.0,37.0,-19.736928365968293
45.0,38.0,-13.003392501421647
45.0,39.0,-9.901413972217895
45.0,40.0,-12.987759811264876
45.0,41.0,-18.29101245114218
45.0,42.0,-12.769662563560821
45.0,43.0,-13.110782081859922
45.0,44.0,-16.29782160191056
45.0,45.0,-9.78624027613745
46.0,-45.0,-18.115460091986563
46.0,-44.0,-15.523626235954698
46.0,-43.0,-25.9451201442935
46.0,-42.0,-9.654776226116116
46.0,-41.0,-10.331638153128402
46.0,-40.0,-17.503193822671065
46.0,-39.0,-16.01273185292729
46.0,-38.0,-11.579434964492457
46.0,-37.0,-13.528269823615293
46.0,-36.0,-19.87003806115616
46.0,-35.0,-17.735842364856925
46.0,-34.0,-13.547795900667996
46.0,-33.0,-14.99290191326226
46.0,-32.0,-20.46898252735329
46.0,-31.0,-14.3479829422809
46.0,-30.0,-15.187593144287622
46.0,-29.0,-21.447504727569818
46.0,-28.0,-13.931448379833444
46.0,-27.0,-22.558320499584184
46.0,-26.0,-18.161120352613846
46.0,-25.0,-26.365101035471227
46.0,-24.0,-26.57166138194409
46.0,-23.0,-15.45243004028694
46.0,-22.0,-27.659707563844066
46.0,-21.0,-24.755046267416645
46.0,-20.0,-23.06465638247019
46.0,-19.0,-21.078379144004465
46.0,-18.0,-21.318150381385784
46.0,-17.0,-19.76526560195501
46.0,-16.0,-23.798818580199157
46.0,-15.0,-21.546880377259008
46.0,-14.0,-26.730977458518353
46.0,-13.0,-23.018723982721625
46.0,-12.0,-23.364794590862772
46.0,-11.0,-24.84562802162142
46.0,-10.0,-19.410552012511136
46.0,-9.0,-29.16390055329498
46.0,-8.0,-21.855248806033075
46.0,-7.0,-26.14252651352366
46.0,-6.0,-36.05182526247872
46.0,-5.0,-28.854686699606596
46.0,-4.0,-22.062875214346075
46.0,-3.0,-29.359878014521573
46.0,-2.0,-24.679096284501114
46.0,-1.0,-22.169164354418506
46.0,0.0,-17.952526951128508
46.0,1.0,-22.169164354427725
46.0,2.0,-24.679096284505388
46.0,3.0,-29.35987801449749
46.0,4.0,-22.062875214337776
46.0,5.0,-28.85468669962611
46.0,6.0,-36.05182526244018
46.0,7.0,-26.142526513509917
46.0,8.0,-21.855248806037636
46.0,9.0,-29.16390055331616
46.0,10.0,-19.410552012510426
46.0,11.0,-24.845628021623757
46.0,12.0,-23.364794590857247
46.0,13.0,-23.01872398272741
46.0,14.0,-26.730977458516712
46.0,15.0,-21.546880377255555
46.0,16.0,-23.7988185802109
46.0,17.0,-19.7652656019484
46.0,18.0,-21.318150381392584
46.0,19.0,-21.07837914400018
46.0,20.0,-23.06465638247865
46.0,21.0,-24.755046267416603
46.0,22.0,-27.659707563824128
46.0,23.0,-15.452430040284202
46.0,24.0,-26.571661381956787
46.0,25.0,-26.36510103548076
46.0,26.0,-18.161120352606087
46.0,27.0,-22.558320499583367
46.0,28.0,-13.931448379832387
46.0,29.0,-21.447504727564382
46.0,30.0,-15.18759314428701
46.0,31.0,-14.34798294228199
46.0,32.0,-20.468982527350825
46.0,33.0,-14.992901913261107
46.0,34.0,-13.547795900665214
46.0,35.0,-17.735842364849162
46.0,36.0,-19.870038061165992
46.0,37.0,-13.52826982362107
46.0,38.0,-11.579434964492375
46.0,39.0,-16.01273185292048
46.0,40.0,-17.503193822680345
46.0,41.0,-10.331638153130257
46.0,42.0,-9.654776226113508
46.0,43.0,-25.945120144253305
46.0,44.0,-15.52362623595572
46.0,45.0,-18.115460091987327
47.0,-45.0,-8.005175488597086
47.0,-44.0,-32.208192477669634
47.0,-43.0,-14.769606796934657
47.0,-42.0,-18.794194390059232
47.0,-41.0,-10.036149710383205
47.0,-40.0,-11.819791109784495
47.0,-39.0,-23.99310408376637
47.0,-38.0,-21.57695314859005
47.0,-37.0,-17.049093561108034
47.0,-36.0,-18.47253475811186
47.0,-35.0,-26.186804031662774
47.0,-34.0,-23.59842505271265
47.0,-33.0,-14.368129217320643
47.0,-32.0,-12.730905902740744
47.0,-31.0,-19.19542170670003
47.0,-30.0,-17.694758564585168
47.0,-29.0,-14.14742784260593
47.0,-28.0,-21.23243892586036
47.0,-27.0,-14.969904764110257
47.0,-26.0,-19.618290303820295
47.0,-25.0,-20.288105531833853
47.0,-24.0,-25.632060022705737
47.0,-23.0,-23.49600403961336
47.0,-22.0,-15.678963437776012
47.0,-21.0,-32.795587554559155
47.0,-20.0,-24.766055842189637
47.0,-19.0,-24.542713348122447
47.0,-18.0,-26.282163380689877
47.0,-17.0,-22.40353957130361
47.0,-16.0,-23.907526784800865
47.0,-15.0,-25.63123446317251
47.0,-14.0,-23.749772760686767
47.0,-13.0,-22.139893040513407
47.0,-12.0,-20.204050875526764
47.0,-11.0,-33.10489059889492
47.0,-10.0,-33.08879537923532
47.0,-9.0,-21.06293643195247
47.0,-8.0,-20.654441059252107
47.0,-7.0,-22.400009285741472
47.0,-6.0,-17.833353541913848
47.0,-5.0,-22.523690306242635
47.0,-4.0,-25.694438131440833
47.0,-3.0,-20.673545312009264
47.0,-2.0,-17.48154787183783
47.0,-1.0,-23.99058559685802
47.0,0.0,-40.53107231253679
47.0,1.0,-23.990585596844017
47.0,2.0,-17.481547871835655
47.0,3.0,-20.67354531202033
47.0,4.0,-25.694438131434705
47.0,5.0,-22.52369030624557
47.0,6.0,-17.83335354191218
47.0,7.0,-22.40000928574773
47.0,8.0,-20.654441059246818
47.0,9.0,-21.0629364319524
47.0,10.0,-33.08879537924235
47.0,11.0,-33.10489059887619
47.0,12.0,-20.204050875530378
47.0,13.0,-22.139893040504298
47.0,14.0,-23.749772760694476
47.0,15.0,-25.631234463174874
47.0,16.0,-23.907526784793774
47.0,17.0,-22.403539571310652
47.0,18.0,-26.282163380679272
47.0,19.0,-24.542713348128025
47.0,20.0,-24.766055842188322
47.0,21.0,-32.795587554519074
47.0,22.0,-15.678963437776153
47.0,23.0,-23.49600403963043
47.0,24.0,-25.63206002270765
47.0,25.0,-20.288105531826798
47.0,26.0,-19.61829030381722
47.0,27.0,-14.969904764108184
47.0,28.0,-21.2324389258616
47.0,29.0,-14.147427842605731
47.0,30.0,-17.694758564583715
47.0,31.0,-19.195421706702724
47.0,32.0,-12.73090590274111
47.0,33.0,-14.368129217315516
47.0,34.0,-23.598425052705853
47.0,35.0,-26.186804031688453
47.0,36.0,-18.472534758120055
47.0,37.0,-17.049093561110794
47.0,38.0,-21.576953148581907
47.0,39.0,-23.99310408379066
47.0,40.0,-11.819791109788655
47.0,41.0,-10.036149710381352
47.0,42.0,-18.794194390051693
47.0,43.0,-14.769606796935687
47.0,44.0,-32.20819247765751
47.0,45.0,-8.00517548860061
48.0,-45.0,-7.945538127713059
48.0,-44.0,-9.327414982495881
48.0,-43.0,-13.645401294459793
48.0,-42.0,-10.780197842938165
48.0,-41.0,-18.82212901187135
48.0,-40.0,-13.650920207569053
48.0,-39.0,-17.972218120941147
48.0,-38.0,-18.950067469615288
48.0,-37.0,-14.847604043957585
48.0,-36.0,-18.866260413254846
48.0,-35.0,-28.602008895371156
48.0,-34.0,-21.11041219685157
48.0,-33.0,-26.256076926315703
48.0,-32.0,-17.817543450962322
48.0,-31.0,-12.857489653218174
48.0,-30.0,-16.03746456392238
48.0,-29.0,-22.675674965412863
48.0,-28.0,-14.455583300597842
48.0,-27.0,-18.369422336105888
48.0,-26.0,-16.71209950811001
48.0,-25.0,-18.897245379271236
48.0,-24.0,-22.994808474241502
48.0,-23.0,-24.162930835805017
48.0,-22.0,-21.783575388896082
48.0,-21.0,-16.16471547409502
48.0,-20.0,-32.84636091407235
48.0,-19.0,-21.53109158757395
48.0,-18.0,-31.523644782614348
48.0,-17.0,-25.71048004971236
48.0,-16.0,-27.038077323616612
48.0,-15.0,-21.87999224830908
48.0,-14.0,-23.91501889238745
48.0,-13.0,-19.325914655353845
48.0,-12.0,-26.427053023688227
48.0,-11.0,-32.666405765960256
48.0,-10.0,-19.459794205964947
48.0,-9.0,-29.346494714750882
48.0,-8.0,-23.568606776021454
48.0,-7.0,-24.379436788292182
48.0,-6.0,-25.8262991194744
48.0,-5.0,-30.984541063615133
48.0,-4.0,-22.47549893503795
48.0,-3.0,-27.063939990455978
48.0,-2.0,-31.72320217301899
48.0,-1.0,-22.8602178498128
48.0,0.0,-18.397250361945137
48.0,1.0,-22.86021784982255
48.0,2.0,-31.723202173011234
48.0,3.0,-27.06393999044176
48.0,4.0,-22.475498935028174
48.0,5.0,-30.984541063646667
48.0,6.0,-25.82629911945904
48.0,7.0,-24.37943678828866
48.0,8.0,-23.56860677603109
48.0,9.0,-29.346494714763583
48.0,10.0,-19.459794205964013
48.0,11.0,-32.66640576594883
48.0,12.0,-26.427053023676134
48.0,13.0,-19.32591465536025
48.0,14.0,-23.915018892372515
48.0,15.0,-21.879992248312632
48.0,16.0,-27.03807732361505
48.0,17.0,-25.710480049712302
48.0,18.0,-31.523644782609242
48.0,19.0,-21.531091587572064
48.0,20.0,-32.846360914068754
48.0,21.0,-16.164715474090567
48.0,22.0,-21.783575388906012
48.0,23.0,-24.162930835811846
48.0,24.0,-22.994808474233928
48.0,25.0,-18.897245379267012
48.0,26.0,-16.712099508107105
48.0,27.0,-18.369422336109537
48.0,28.0,-14.455583300597631
48.0,29.0,-22.67567496541734
48.0,30.0,-16.03746456392408
48.0,31.0,-12.857489653218384
48.0,32.0,-17.817543450954652
48.0,33.0,-26.256076926311877
48.0,34.0,-21.11041219684629
48.0,35.0,-28.602008895342983
48.0,36.0,-18.866260413259532
48.0,37.0,-14.847604043955853
48.0,38.0,-18.950067469608697
48.0,39.0,-17.972218120950842
48.0,40.0,-13.650920207568948
48.0,41.0,-18.82212901187505
48.0,42.0,-10.780197842941163
48.0,43.0,-13.645401294454935
48.0,44.0,-9.327414982499707
48.0,45.0,-7.9455381277101935
49.0,-45.0,-21.336478893069817
49.0,-44.0,-7.766776739972961
49.0,-43.0,-13.58705197753724
49.0,-42.0,-8.993089352073977
49.0,-41.0,-10.15992685377179
49.0,-40.0,-32.204895691327756
49.0,-39.0,-17.213645538515806
49.0,-38.0,-36.706851228138376
49.0,-37.0,-13.98899603641603
49.0,-36.0,-11.536481350241248
49.0,-35.0,-14.846257681815779
49.0,-34.0,-23.847875430349216
49.0,-33.0,-17.200947139615582
49.0,-32.0,-18.237104825139077
49.0,-31.0,-21.612830945071156
49.0,-30.0,-14.291555300156798
49.0,-29.0,-14.608541031874143
49.0,-28.0,-23.818500594334022
49.0,-27.0,-15.4686599630093
49.0,-26.0,-16.992282534538234
49.0,-25.0,-18.63465523508144
49.0,-24.0,-19.890309470577066
49.0,-23.0,-24.93396623788295
49.0,-22.0,-21.36696550655339
49.0,-21.0,-21.52047195754253
49.0,-20.0,-17.647205906573085
49.0,-19.0,-25.15856062150361
49.0,-18.0,-18.68114571816804
49.0,-17.0,-31.562859927247867
49.0,-16.0,-18.836991380377626
49.0,-15.0,-32.008638950795124
49.0,-14.0,-17.93626457113302
49.0,-13.0,-28.263676325780935
49.0,-12.0,-25.14358250321326
49.0,-11.0,-21.838110719826823
49.0,-10.0,-25.839526408007664
49.0,-9.0,-25.88673728007428
49.0,-8.0,-21.59690932464614
49.0,-7.0,-24.86861219555911
49.0,-6.0,-19.429434193047832
49.0,-5.0,-18.70092748233392
49.0,-4.0,-26.630987333198565
49.0,-3.0,-22.253968952226593
49.0,-2.0,-19.239477211333337
49.0,-1.0,-22.977106244494998
49.0,0.0,-23.254438075837932
49.0,1.0,-22.977106244491754
49.0,2.0,-19.239477211331245
49.0,3.0,-22.25396895223538
49.0,4.0,-26.63098733318419
49.0,5.0,-18.700927482332606
49.0,6.0,-19.429434193051556
49.0,7.0,-24.868612195557773
49.0,8.0,-21.59690932463722
49.0,9.0,-25.886737280067138
49.0,10.0,-25.839526408019765
49.0,11.0,-21.838110719827114
49.0,12.0,-25.143582503214766
49.0,13.0,-28.263676325756254
49.0,14.0,-17.936264571133105
49.0,15.0,-32.00863895076759
49.0,16.0,-18.83699138037503
49.0,17.0,-31.562859927271205
49.0,18.0,-18.681145718168207
49.0,19.0,-25.158560621511484
49.0,20.0,-17.647205906570033
49.0,21.0,-21.520471957547276
49.0,22.0,-21.366965506559588
49.0,23.0,-24.933966237884523
49.0,24.0,-19.890309470574852
49.0,25.0,-18.634655235076366
49.0,26.0,-16.99228253453859
49.0,27.0,-15.468659963008975
49.0,28.0,-23.81850059434214
49.0,29.0,-14.60854103187507
49.0,30.0,-14.291555300156112
49.0,31.0,-21.612830945066563
49.0,32.0,-18.237104825133393
49.0,33.0,-17.200947139610037
49.0,34.0,-23.847875430335655
49.0,35.0,-14.846257681821358
49.0,36.0,-11.536481350241132
49.0,37.0,-13.98899603641163
49.0,38.0,-36.706851228038566
49.0,39.0,-17.213645538519536
49.0,40.0,-32.20489569138252
49.0,41.0,-10.159926853775671
49.0,42.0,-8.993089352072728
49.0,43.0,-13.587051977543656
49.0,44.0,-7.766776739971302
49.0,45.0,-21.336478893068993
50.0,-45.0,-11.514528656846837
50.0,-44.0,-16.524071176335283
50.0,-43.0,-9.41314613861492
50.0,-42.0,-18.4090492490561
50.0,-41.0,-7.695443213790795
50.0,-40.0,-12.26831278812517
50.0,-39.0,-17.914507893858787
50.0,-38.0,-13.579387323578551
50.0,-37.0,-21.4662196037399
50.0,-36.0,-13.20535690488678
50.0,-35.0,-11.177100794956516
50.0,-34.0,-13.690959893940375
50.0,-33.0,-21.851693699215247
50.0,-32.0,-16.490383278539007
50.0,-31.0,-15.488113790850536
50.0,-30.0,-20.25131416783556
50.0,-29.0,-16.667030113819692
50.0,-28.0,-14.380319379265059
50.0,-27.0,-21.12995561052733
50.0,-26.0,-16.608143924156945
50.0,-25.0,-16.932119542416547
50.0,-24.0,-20.786041058437725
50.0,-23.0,-23.164260048331275
50.0,-22.0,-23.68770391890868
50.0,-21.0,-18.32560959366126
50.0,-20.0,-24.075780038503144
50.0,-19.0,-22.164556087250936
50.0,-18.0,-22.666338714519828
50.0,-17.0,-19.19468275625559
50.0,-16.0,-23.859564231434494
50.0,-15.0,-18.231992976393624
50.0,-14.0,-33.76241624050953
50.0,-13.0,-22.982506885902488
50.0,-12.0,-23.368503632333383
50.0,-11.0,-26.719468799000378
50.0,-10.0,-22.959084269263293
50.0,-9.0,-24.87078537047587
50.0,-8.0,-20.52104454246193
50.0,-7.0,-21.329988198082685
50.0,-6.0,-39.11366748863149
50.0,-5.0,-33.85547154539253
50.0,-4.0,-29.8281979309465
50.0,-3.0,-25.78254648251781
50.0,-2.0,-28.368962947857202
50.0,-1.0,-25.076609756852942
50.0,0.0,-20.682894030353246
50.0,1.0,-25.076609756860854
50.0,2.0,-28.368962947841094
50.0,3.0,-25.782546482523294
50.0,4.0,-29.828197930971978
50.0,5.0,-33.855471545423946
50.0,6.0,-39.11366748856056
50.0,7.0,-21.329988198080994
50.0,8.0,-20.521044542469674
50.0,9.0,-24.870785370469193
50.0,10.0,-22.959084269262206
50.0,11.0,-26.719468799003728
50.0,12.0,-23.368503632336108
50.0,13.0,-22.982506885901067
50.0,14.0,-33.76241624053923
50.0,15.0,-18.231992976391613
50.0,16.0,-23.859564231445106
50.0,17.0,-19.19468275625399
50.0,18.0,-22.666338714527523
50.0,19.0,-22.164556087241344
50.0,20.0,-24.0757800385029
50.0,21.0,-18.325609593662403
50.0,22.0,-23.687703918918288
50.0,23.0,-23.164260048328075
50.0,24.0,-20.786041058431643
50.0,25.0,-16.932119542419127
50.0,26.0,-16.608143924156526
50.0,27.0,-21.12995561052862
50.0,28.0,-14.380319379263245
50.0,29.0,-16.667030113818868
50.0,30.0,-20.25131416783136
50.0,31.0,-15.488113790847336
50.0,32.0,-16.490383278533916
50.0,33.0,-21.85169369921743
50.0,34.0,-13.690959893945937
50.0,35.0,-11.177100794956305
50.0,36.0,-13.20535690488358
50.0,37.0,-21.466219603731545
50.0,38.0,-13.579387323582226
50.0,39.0,-17.914507893849507
50.0,40.0,-12.268312788131219
50.0,41.0,-7.695443213789723
50.0,42.0,-18.40904924904883
50.0,43.0,-9.413146138616376
50.0,44.0,-16.524071176324092
50.0,45.0,-11.514528656847144
51.0,-45.0,-15.123463317488334
51.0,-44.0,-15.61252419436585
51.0,-43.0,-13.450014066884652
51.0,-42.0,-13.10381973684346
51.0,-41.0,-14.646946680780626
51.0,-40.0,-8.374741790380634
51.0,-39.0,-16.296341110974325
51.0,-38.0,-12.177453518101258
51.0,-37.0,-11.242926183051708
51.0,-36.0,-20.322936558353582
51.0,-35.0,-14.858863372091465
51.0,-34.0,-12.419684365304395
51.0,-33.0,-13.994251078011024
51.0,-32.0,-22.006175010252406
51.0,-31.0,-17.793968884950143
51.0,-30.0,-14.944364210624473
51.0,-29.0,-17.926270372629666
51.0,-28.0,-19.39847527040522
51.0,-27.0,-14.824678436222802
51.0,-26.0,-20.002068029256446
51.0,-25.0,-17.827588669851476
51.0,-24.0,-18.383009930993044
51.0,-23.0,-23.475107077726424
51.0,-22.0,-27.417636050613385
51.0,-21.0,-21.662110573203385
51.0,-20.0,-16.75070035169223
51.0,-19.0,-35.54709535467349
51.0,-18.0,-25.48546298016165
51.0,-17.0,-27.122511353467655
51.0,-16.0,-27.47851529201492
51.0,-15.0,-26.04909000169872
51.0,-14.0,-25.502231520937364
51.0,-13.0,-22.447532647360106
51.0,-12.0,-24.173937223521147
51.0,-11.0,-22.360471007375217
51.0,-10.0,-29.625835895872438
51.0,-9.0,-20.839882804376543
51.0,-8.0,-29.604231705583235
51.0,-7.0,-31.09995632481773
51.0,-6.0,-25.3671309484673
51.0,-5.0,-18.754745901400018
51.0,-4.0,-22.194109715194358
51.0,-3.0,-27.330228888620102
51.0,-2.0,-26.86591968651542
51.0,-1.0,-29.013015227434757
51.0,0.0,-24.820047484033807
51.0,1.0,-29.01301522744256
51.0,2.0,-26.86591968650585
51.0,3.0,-27.33022888861892
51.0,4.0,-22.194109715183142
51.0,5.0,-18.7547459013975
51.0,6.0,-25.36713094846675
51.0,7.0,-31.099956324794146
51.0,8.0,-29.604231705588468
51.0,9.0,-20.83988280437904
51.0,10.0,-29.625835895876893
51.0,11.0,-22.360471007374084
51.0,12.0,-24.173937223529872
51.0,13.0,-22.447532647352975
51.0,14.0,-25.502231520940434
51.0,15.0,-26.049090001705075
51.0,16.0,-27.478515292003184
51.0,17.0,-27.12251135347337
51.0,18.0,-25.485462980163582
51.0,19.0,-35.54709535462844
51.0,20.0,-16.750700351690526
51.0,21.0,-21.66211057321053
51.0,22.0,-27.417636050616842
51.0,23.0,-23.47510707772014
51.0,24.0,-18.383009930994277
51.0,25.0,-17.82758866984888
51.0,26.0,-20.002068029256385
51.0,27.0,-14.82467843622317
51.0,28.0,-19.398475270405672
51.0,29.0,-17.92627037263023
51.0,30.0,-14.94436421062088
51.0,31.0,-17.793968884944803
51.0,32.0,-22.006175010260705
51.0,33.0,-13.994251078014795
51.0,34.0,-12.419684365304377
51.0,35.0,-14.858863372088456
51.0,36.0,-20.322936558356943
51.0,37.0,-11.242926183054271
51.0,38.0,-12.177453518099387
51.0,39.0,-16.296341110982073
51.0,40.0,-8.374741790381883
51.0,41.0,-14.646946680770547
51.0,42.0,-13.103819736847303
51.0,43.0,-13.450014066875983
51.0,44.0,-15.612524194370444
51.0,45.0,-15.1234633174853
52.0,-45.0,-15.753367227947635
52.0,-44.0,-14.266352452107773
52.0,-43.0,-19.444206643846723
52.0,-42.0,-13.145057019559571
52.0,-41.0,-20.3559131990794
52.0,-40.0,-12.473092468470405
52.0,-39.0,-10.716116643617926
52.0,-38.0,-17.229256122151206
52.0,-37.0,-10.125762718276404
52.0,-36.0,-10.791243989912818
52.0,-35.0,-22.29738183619158
52.0,-34.0,-18.619148286406688
52.0,-33.0,-14.774317954479727
52.0,-32.0,-14.977606569691474
52.0,-31.0,-21.592280952673008
52.0,-30.0,-20.607942788119153
52.0,-29.0,-15.83569163587166
52.0,-28.0,-17.35481507507607
52.0,-27.0,-22.309293497875913
52.0,-26.0,-15.873891712023678
52.0,-25.0,-21.105338022796435
52.0,-24.0,-19.804042599700807
52.0,-23.0,-22.748666096543015
52.0,-22.0,-25.052735879944915
52.0,-21.0,-20.651793942117173
52.0,-20.0,-22.39280852012704
52.0,-19.0,-18.632484260404222
52.0,-18.0,-26.16651447186331
52.0,-17.0,-18.66546084137068
52.0,-16.0,-29.637491233675423
52.0,-15.0,-18.80639293986966
52.0,-14.0,-26.406514394739176
52.0,-13.0,-18.873609251078342
52.0,-12.0,-25.326557749302378
52.0,-11.0,-29.78145855884557
52.0,-10.0,-21.248702812298944
52.0,-9.0,-33.26993695917133
52.0,-8.0,-38.24174077918216
52.0,-7.0,-20.326055565959017
52.0,-6.0,-20.463746034674337
52.0,-5.0,-26.594401152011258
52.0,-4.0,-21.37884072146573
52.0,-3.0,-18.6909233418408
52.0,-2.0,-21.87474350376176
52.0,-1.0,-29.902752790027524
52.0,0.0,-26.627705744446146
52.0,1.0,-29.902752790041482
52.0,2.0,-21.874743503756807
52.0,3.0,-18.69092334184176
52.0,4.0,-21.37884072147368
52.0,5.0,-26.59440115201331
52.0,6.0,-20.463746034677044
52.0,7.0,-20.326055565959148
52.0,8.0,-38.24174077919395
52.0,9.0,-33.26993695916911
52.0,10.0,-21.248702812296983
52.0,11.0,-29.781458558845323
52.0,12.0,-25.32655774929144
52.0,13.0,-18.873609251081575
52.0,14.0,-26.406514394724134
52.0,15.0,-18.806392939868527
52.0,16.0,-29.637491233670875
52.0,17.0,-18.665460841370006
52.0,18.0,-26.166514471873104
52.0,19.0,-18.632484260400204
52.0,20.0,-22.392808520124472
52.0,21.0,-20.651793942119934
52.0,22.0,-25.0527358799472
52.0,23.0,-22.74866609653879
52.0,24.0,-19.804042599695553
52.0,25.0,-21.105338022792335
52.0,26.0,-15.873891712020978
52.0,27.0,-22.30929349787322
52.0,28.0,-17.35481507507417
52.0,29.0,-15.835691635867036
52.0,30.0,-20.60794278811627
52.0,31.0,-21.592280952685034
52.0,32.0,-14.977606569695665
52.0,33.0,-14.774317954478365
52.0,34.0,-18.61914828640165
52.0,35.0,-22.297381836210768
52.0,36.0,-10.791243989914951
52.0,37.0,-10.12576271827481
52.0,38.0,-17.22925612214927
52.0,39.0,-10.716116643620781
52.0,40.0,-12.473092468466136
52.0,41.0,-20.355913199091773
52.0,42.0,-13.145057019557552
52.0,43.0,-19.44420664385317
52.0,44.0,-14.266352452106288
52.0,45.0,-15.75336722794769
53.0,-45.0,-15.367956381296564
53.0,-44.0,-16.28461671795715
53.0,-43.0,-14.708303304425216
53.0,-42.0,-18.893595663806263
53.0,-41.0,-14.199267303190211
53.0,-40.0,-31.324539992665827
53.0,-39.0,-12.255030674015444
53.0,-38.0,-14.573763304531052
53.0,-37.0,-14.847950811162933
53.0,-36.0,-9.674151700771498
53.0,-35.0,-11.304546720611198
53.0,-34.0,-23.302293006786414
53.0,-33.0,-24.107238844491484
53.0,-32.0,-17.64605534962277
53.0,-31.0,-16.065918915857253
53.0,-30.0,-19.922848891809647
53.0,-29.0,-23.08137426749257
53.0,-28.0,-18.089613940168285
53.0,-27.0,-18.682385115786456
53.0,-26.0,-26.705166802606822
53.0,-25.0,-18.240005591517416
53.0,-24.0,-25.628852476421066
53.0,-23.0,-24.201769471363153
53.0,-22.0,-24.71613184741818
53.0,-21.0,-23.91072882828661
53.0,-20.0,-17.19916957048056
53.0,-19.0,-31.5089514781576
53.0,-18.0,-26.662890736982575
53.0,-17.0,-25.285595697748995
53.0,-16.0,-22.552701002891304
53.0,-15.0,-26.583047565954743
53.0,-14.0,-21.47898222002749
53.0,-13.0,-28.562908056521387
53.0,-12.0,-37.979986702615385
53.0,-11.0,-19.679421695428765
53.0,-10.0,-29.161925851981252
53.0,-9.0,-30.886515265789647
53.0,-8.0,-20.373115672179583
53.0,-7.0,-27.335376044385132
53.0,-6.0,-20.85838077638173
53.0,-5.0,-22.641881831439555
53.0,-4.0,-29.82175714606694
53.0,-3.0,-43.94763655357876
53.0,-2.0,-29.318194052139468
53.0,-1.0,-21.29338502697418
53.0,0.0,-19.08251354355749
53.0,1.0,-21.293385026982406
53.0,2.0,-29.318194052164145
53.0,3.0,-43.94763655360737
53.0,4.0,-29.821757146081126
53.0,5.0,-22.641881831442035
53.0,6.0,-20.858380776385474
53.0,7.0,-27.335376044387164
53.0,8.0,-20.37311567217438
53.0,9.0,-30.886515265797566
53.0,10.0,-29.161925851983046
53.0,11.0,-19.679421695430047
53.0,12.0,-37.97998670263375
53.0,13.0,-28.562908056527732
53.0,14.0,-21.47898222002302
53.0,15.0,-26.58304756596316
53.0,16.0,-22.552701002883854
53.0,17.0,-25.285595697757536
53.0,18.0,-26.662890736969914
53.0,19.0,-31.508951478127344
53.0,20.0,-17.199169570480425
53.0,21.0,-23.910728828295667
53.0,22.0,-24.716131847421835
53.0,23.0,-24.201769471348822
53.0,24.0,-25.628852476424985
